MAP,Recall@1,Recall@10,Recall@30,arm,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,level,n_eligible_queries,n_queries,shortlist_from,shortlist_k
0.5722732475514136,0.8781150883552333,0.9148164929768917,0.9347530584503851,protsent_v2_150m_zeroshot,0.5968842426020652,0.9158790170132325,0.9541587901701323,0.974952741020794,fold,2116,2207,protsent_v2_150m_dense,10
0.5809957142828078,0.881739918441323,0.9216130493883099,0.9347530584503851,protsent_v2_150m_zeroshot,0.6059818248686942,0.9196597353497165,0.9612476370510397,0.974952741020794,fold,2116,2207,protsent_v2_150m_dense,30
0.5891331890283329,0.881739918441323,0.9234254644313548,0.9370185772541912,protsent_v2_150m_zeroshot,0.6144692571765268,0.9196597353497165,0.9631379962192816,0.9773156899810964,fold,2116,2207,protsent_v2_150m_dense,100
0.6043014280354109,0.881739918441323,0.9229723606705935,0.9383778885364749,protsent_v2_150m_zeroshot,0.6302898164811682,0.9196597353497165,0.9626654064272212,0.9787334593572778,fold,2116,2207,protsent_v2_150m_dense,full
0.6222130989170291,0.8341640235613955,0.8722247394653375,0.889895786135025,protsent_v2_150m_zeroshot,0.6798140145098431,0.9113861386138614,0.9529702970297029,0.9722772277227723,superfamily,2020,2207,protsent_v2_150m_dense,10
0.6341449344569311,0.8382419574082465,0.8799275033982782,0.889895786135025,protsent_v2_150m_zeroshot,0.6928504308645776,0.9158415841584159,0.9613861386138614,0.9722772277227723,superfamily,2020,2207,protsent_v2_150m_dense,30
0.6434347188281238,0.8382419574082465,0.8821930222020843,0.8953330312641595,protsent_v2_150m_zeroshot,0.7030002101255788,0.9158415841584159,0.9638613861386138,0.9782178217821782,superfamily,2020,2207,protsent_v2_150m_dense,100
0.6582215999333251,0.8382419574082465,0.881739918441323,0.8948799275033983,protsent_v2_150m_zeroshot,0.7191559757687369,0.9158415841584159,0.9633663366336633,0.9777227722772277,superfamily,2020,2207,protsent_v2_150m_dense,full
0.5599180015959027,0.5908473040326234,0.7204349796103308,0.7435432714091527,protsent_v2_150m_zeroshot,0.7299108266521895,0.7702303603071471,0.9391612522150029,0.9692852923803899,family,1693,2207,protsent_v2_150m_dense,10
0.5702254953502148,0.594019030357952,0.7254191209787041,0.7435432714091527,protsent_v2_150m_zeroshot,0.7433477071694767,0.77436503248671,0.9456585942114589,0.9692852923803899,family,1693,2207,protsent_v2_150m_dense,30
0.5738128474556148,0.594019030357952,0.727231536021749,0.7485274127775261,protsent_v2_150m_zeroshot,0.7480241903925233,0.77436503248671,0.9480212640283521,0.9757826343768459,family,1693,2207,protsent_v2_150m_dense,100
0.575031698798613,0.594019030357952,0.727231536021749,0.7489805165382872,protsent_v2_150m_zeroshot,0.749613088746922,0.77436503248671,0.9480212640283521,0.9763733018310691,family,1693,2207,protsent_v2_150m_dense,full
0.5729343501615767,0.885817852288174,0.9148164929768917,0.9347530584503851,late-r2-esm2-150m_s10000,0.5975737763736294,0.9239130434782609,0.9541587901701323,0.974952741020794,fold,2116,2207,protsent_v2_150m_dense,10
0.5819717652286422,0.892161304938831,0.923878568192116,0.9347530584503851,late-r2-esm2-150m_s10000,0.6069998515404601,0.9305293005671077,0.9636105860113422,0.974952741020794,fold,2116,2207,protsent_v2_150m_dense,30
0.5959767912414835,0.894426823742637,0.9275033982782057,0.9383778885364749,late-r2-esm2-150m_s10000,0.6216071730954414,0.9328922495274102,0.967391304347826,0.9787334593572778,fold,2116,2207,protsent_v2_150m_dense,100
0.6214042639494448,0.8966923425464431,0.9320344358858178,0.9415496148618033,late-r2-esm2-150m_s10000,0.6481281713310136,0.9352551984877127,0.972117202268431,0.9820415879017014,fold,2116,2207,protsent_v2_150m_dense,full
0.6243333045867618,0.8468509288627095,0.8722247394653375,0.889895786135025,late-r2-esm2-150m_s10000,0.6821304966450413,0.9252475247524753,0.9529702970297029,0.9722772277227723,superfamily,2020,2207,protsent_v2_150m_dense,10
0.635606664510366,0.8509288627095605,0.881739918441323,0.889895786135025,late-r2-esm2-150m_s10000,0.6944474794922662,0.9297029702970298,0.9633663366336633,0.9722772277227723,superfamily,2020,2207,protsent_v2_150m_dense,30
0.648299693740107,0.8527412777526053,0.8862709560489352,0.8953330312641595,late-r2-esm2-150m_s10000,0.7083155564774336,0.9316831683168317,0.9683168316831683,0.9782178217821782,superfamily,2020,2207,protsent_v2_150m_dense,100
0.6670806506967322,0.8545536927956502,0.8880833710919801,0.8971454463072044,late-r2-esm2-150m_s10000,0.7288351465780633,0.9336633663366337,0.9702970297029703,0.9801980198019802,superfamily,2020,2207,protsent_v2_150m_dense,full
0.5642417776713791,0.600362483008609,0.7204349796103308,0.7435432714091527,late-r2-esm2-150m_s10000,0.7355473144245326,0.7826343768458358,0.9391612522150029,0.9692852923803899,family,1693,2207,protsent_v2_150m_dense,10
0.5763182581733327,0.6035342093339374,0.729497054825555,0.7435432714091527,late-r2-esm2-150m_s10000,0.7512902514994361,0.7867690490253987,0.9509746012994684,0.9692852923803899,family,1693,2207,protsent_v2_150m_dense,30
0.5825621733102833,0.6048935206162211,0.7322156773901224,0.7494336202990485,late-r2-esm2-150m_s10000,0.7594298384499676,0.7885410513880685,0.954518606024808,0.9769639692852924,family,1693,2207,protsent_v2_150m_dense,100
0.5866732402056187,0.6071590394200271,0.7349342999546896,0.7535115541458994,late-r2-esm2-150m_s10000,0.7647890378817486,0.7914943886591849,0.9580626107501476,0.9822799763733018,family,1693,2207,protsent_v2_150m_dense,full
