Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.51588,0.50749,6.96517,2.0628,0.10201,0.01357,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00357,0.96205,0.85723,0.85944,0.93983,0.96082,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00529,0.83305,0.82882,0.82813,0.65771,,0.85573,0.88369,0.86842,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.40876,0.41864,0.22206,0.33472,0.07829,0.00672,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,430.18755,0.5904,0.59271,,,,,,,0.80041
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.68724,0.69365,13.61164,2.56971,0.45331,0.00405,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.43685,0.4635,1.637,0.96875,-0.72487,0.00565,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00675,0.76435,0.70643,0.69806,0.41733,,0.83683,0.77056,0.8457,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00539,0.73048,0.72999,0.73048,0.46266,,0.74154,0.79829,0.75582,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.58274,0.63897,0.82528,0.62928,0.38087,0.01836,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Peptide-HLA Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01555,0.72532,0.72281,0.72713,0.46425,,0.74916,0.78546,0.71747,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.0019,0.93175,0.92258,0.93479,0.84766,,0.94923,0.97229,0.9795,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Remote Homology (Fold),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00709,0.65444,0.37993,0.46693,0.65034,0.64162,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00614,0.98194,0.96681,0.96709,0.93362,,0.9444,0.98171,0.94662,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Solubility (DeepSol),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01697,0.53973,0.53509,0.53968,0.08099,,0.48862,0.55696,0.53837,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Stability (Biomap),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.58123,0.59879,0.12796,0.27308,0.23396,0.01247,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Subcellular Localisation,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00274,0.65798,0.52589,0.50646,0.57719,0.65421,,0.82916,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Temperature Stability,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.06832,0.8911,0.8911,0.89182,0.78345,0.89111,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Thermostability (FLIP),Full,2026-08-27,knn,standard,test,test_random_split,none,470d637,42,0.45023,0.45343,0.03724,0.15222,0.12013,0.00516,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,Variant Effect (GB1),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.77687,0.73967,0.70604,0.57319,0.51414,0.0023,,,,,,,,,
/opt/hpc/ddofer/ProtSent/models/late_interaction/late-r2-protsentv2-150m/snapshots/step-10000-dense,beta-lactamase-PEER,Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.75475,0.82113,0.03436,0.12021,0.66693,0.00189,,,,,,,,,
