Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
GrimSqueaker/ProtSent-V2-150M,AAV Fitness (FLIP),Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.51422,0.50664,6.97517,2.061,0.10072,0.01361,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Antibiotic Resistance,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00341,0.96577,0.8823,0.87916,0.94592,0.96498,,,,
GrimSqueaker/ProtSent-V2-150M,Binary Subcellular Localization,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00762,0.83991,0.83686,0.83832,0.67405,,0.85915,0.90283,0.8918,
GrimSqueaker/ProtSent-V2-150M,Cloning Classification,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.36311,0.37476,0.23769,0.34892,0.01341,0.00655,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,463.03627,0.61783,0.62745,,,,,,,0.81123
GrimSqueaker/ProtSent-V2-150M,Enzyme Catalytic Efficiency,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.68266,0.68092,14.24667,2.59292,0.42781,0.0046,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Fluorescence (TAPE),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.38929,0.42216,1.75396,1.0282,-0.84811,0.00651,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Material Production,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00701,0.75934,0.70251,0.69546,0.40817,,0.83253,0.7643,0.84194,
GrimSqueaker/ProtSent-V2-150M,Metal Ion Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00262,0.76051,0.76044,0.76051,0.52133,,0.76458,0.81754,0.77503,
GrimSqueaker/ProtSent-V2-150M,Optimal pH,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.58571,0.64721,0.80694,0.62468,0.39463,0.00262,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Peptide-HLA Binding,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01444,0.74138,0.73952,0.74301,0.49457,,0.76152,0.80008,0.73212,
GrimSqueaker/ProtSent-V2-150M,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00335,0.93175,0.92258,0.93479,0.84766,,0.94923,0.96749,0.97526,
GrimSqueaker/ProtSent-V2-150M,Remote Homology (Fold),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00598,0.6606,0.38689,0.4707,0.65662,0.64401,,,,
GrimSqueaker/ProtSent-V2-150M,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.00604,0.97832,0.96024,0.96134,0.92049,,0.93343,0.98414,0.94551,
GrimSqueaker/ProtSent-V2-150M,Solubility (DeepSol),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01634,0.51674,0.51306,0.5167,0.03391,,0.47072,0.52541,0.51675,
GrimSqueaker/ProtSent-V2-150M,Stability (Biomap),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.62422,0.61388,0.15319,0.29418,0.08293,0.01585,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Subcellular Localisation,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.01454,0.67752,0.55146,0.53558,0.60198,0.67465,,0.83521,,
GrimSqueaker/ProtSent-V2-150M,Temperature Stability,Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,,,,,,0.06719,0.89023,0.89022,0.8909,0.78156,0.89024,,,,
GrimSqueaker/ProtSent-V2-150M,Thermostability (FLIP),Full,2026-08-27,knn,standard,test,test_random_split,none,470d637,42,0.47754,0.47957,0.03547,0.14788,0.1619,0.00477,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Variant Effect (GB1),Full,2026-08-27,knn,standard,test,test_split,none,470d637,42,0.78708,0.75514,0.66745,0.5579,0.5407,0.00508,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,beta-lactamase-PEER,Full,2026-08-27,knn,standard,test,test_split_column,none,470d637,42,0.75967,0.81896,0.03453,0.12092,0.66526,0.00187,,,,,,,,,
