epoch,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.0010979358805445762,6.8172287940979,9.000000000000001e-07,8.033518218994141,10,,,,,
0.0021958717610891525,47.55562210083008,1.9000000000000002e-06,8.577161407470703,20,,,,,
0.0032938076416337285,44.0428581237793,2.9e-06,8.124639892578125,30,,,,,
0.004391743522178305,8.281611442565918,3.900000000000001e-06,7.223591613769531,40,,,,,
0.005489679402722881,37.01585388183594,4.9000000000000005e-06,7.433842468261719,50,,,,,
0.006587615283267457,37.655216217041016,5.9e-06,6.923283386230469,60,,,,,
0.007685551163812033,6.728058815002441,6.9e-06,5.396269989013672,70,,,,,
0.00878348704435661,30.689098358154297,7.9e-06,5.384897613525391,80,,,,,
0.009881422924901186,28.173398971557617,8.900000000000001e-06,4.942160797119141,90,,,,,
0.010979358805445762,7.847095966339111,9.9e-06,3.8775352478027343,100,,,,,
0.012077294685990338,13.55512523651123,9.999446382823012e-06,3.760995101928711,110,,,,,
0.013175230566534914,11.518389701843262,9.997532801828659e-06,3.5401260375976564,120,,,,,
0.01427316644707949,7.537596225738525,9.99425294526634e-06,2.911686325073242,130,,,,,
0.015371102327624066,7.607005596160889,9.98960770981609e-06,3.1444766998291014,140,,,,,
0.016469038208168644,8.18532943725586,9.983598365438902e-06,2.9088275909423826,150,,,,,
0.01756697408871322,7.5082621574401855,9.976226555029522e-06,2.6588348388671874,160,,,,,
0.018664909969257796,5.242316246032715,9.967494293967312e-06,2.766515922546387,170,,,,,
0.019762845849802372,5.678210735321045,9.95740396956525e-06,2.7028583526611327,180,,,,,
0.020860781730346948,8.6727876663208,9.945958340417283e-06,2.5676570892333985,190,,,,,
0.021958717610891524,4.982433795928955,9.933160535644131e-06,2.688347816467285,200,,,,,
0.0230566534914361,6.597456932067871,9.919014054037837e-06,2.5462303161621094,210,,,,,
0.024154589371980676,7.70501708984375,9.903522763105217e-06,2.3132404327392577,220,,,,,
0.025252525252525252,4.619189262390137,9.886690898010537e-06,2.421394920349121,230,,,,,
0.026350461133069828,5.152770519256592,9.868523060417646e-06,2.328201103210449,240,,,,,
0.027448397013614404,7.169233798980713,9.849024217231936e-06,2.17730598449707,250,,,,,
0.02854633289415898,4.568120956420898,9.82819969924244e-06,2.362420654296875,260,,,,,
0.029644268774703556,4.868503570556641,9.806055199664445e-06,2.2779621124267577,270,,,,,
0.030742204655248132,5.7515435218811035,9.782596772583026e-06,2.0625736236572267,280,,,,,
0.03184014053579271,5.793722152709961,9.757830831297915e-06,2.2061477661132813,290,,,,,
0.03293807641633729,3.830444097518921,9.731764146570173e-06,2.185236167907715,300,,,,,
0.034036012296881864,6.605901718139648,9.704403844771128e-06,2.001592254638672,310,,,,,
0.03513394817742644,5.844055652618408,9.675757405934105e-06,2.067984771728516,320,,,,,
0.036231884057971016,4.1807661056518555,9.645832661709444e-06,2.0316303253173826,330,,,,,
0.03732981993851559,6.909539699554443,9.614637793223427e-06,1.8941740036010741,340,,,,,
0.03842775581906017,4.32170295715332,9.582181328841611e-06,2.1015750885009767,350,,,,,
0.039525691699604744,4.674182415008545,9.548472141837287e-06,2.0345088958740236,360,,,,,
0.04062362758014932,5.589492321014404,9.513519447965595e-06,1.8679212570190429,370,,,,,
0.041721563460693896,5.29335355758667,9.477332802944043e-06,1.9548786163330079,380,,,,,
0.04281949934123847,3.515695333480835,9.439922099840056e-06,1.892068099975586,390,,,,,
