model,scale,probe,task,metric,value,auc_undefined,kind,source
ProtSent-V1,35M,n/a,SCOPe-40 Structural Retrieval,R@1,0.5854,,retrieval,suite
ProtSent-V1,35M,n/a,SCOPe-40 Structural Retrieval,R@10,0.8511,,retrieval,suite
ProtSent-V1,35M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9256,,retrieval,suite
ProtSent-V1,35M,n/a,SCOPe-40 Structural Retrieval,MAP,0.5509,,retrieval,suite
ProtSent-V2,35M,n/a,SCOPe-40 Structural Retrieval,R@1,0.6852,,retrieval,suite
ProtSent-V2,35M,n/a,SCOPe-40 Structural Retrieval,R@10,0.922,,retrieval,suite
ProtSent-V2,35M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9634,,retrieval,suite
ProtSent-V2,35M,n/a,SCOPe-40 Structural Retrieval,MAP,0.6459,,retrieval,suite
ProtSent-V2.5,35M,n/a,SCOPe-40 Structural Retrieval,R@1,0.6899,,retrieval,suite
ProtSent-V2.5,35M,n/a,SCOPe-40 Structural Retrieval,R@10,0.9244,,retrieval,suite
ProtSent-V2.5,35M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9681,,retrieval,suite
ProtSent-V2.5,35M,n/a,SCOPe-40 Structural Retrieval,MAP,0.6521,,retrieval,suite
ProtSent-V2.5-noGOR,35M,n/a,SCOPe-40 Structural Retrieval,R@1,0.6923,,retrieval,suite
ProtSent-V2.5-noGOR,35M,n/a,SCOPe-40 Structural Retrieval,R@10,0.925,,retrieval,suite
ProtSent-V2.5-noGOR,35M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9663,,retrieval,suite
ProtSent-V2.5-noGOR,35M,n/a,SCOPe-40 Structural Retrieval,MAP,0.6528,,retrieval,suite
ESM-2 150M,150M,n/a,SCOPe-40 Structural Retrieval,R@1,0.5535,,retrieval,suite
ESM-2 150M,150M,n/a,SCOPe-40 Structural Retrieval,R@10,0.7702,,retrieval,suite
ESM-2 150M,150M,n/a,SCOPe-40 Structural Retrieval,R@30,0.8423,,retrieval,suite
ESM-2 150M,150M,n/a,SCOPe-40 Structural Retrieval,MAP,0.4236,,retrieval,suite
ProtSent-V1,150M,n/a,SCOPe-40 Structural Retrieval,R@1,0.6615,,retrieval,suite
ProtSent-V1,150M,n/a,SCOPe-40 Structural Retrieval,R@10,0.8943,,retrieval,suite
ProtSent-V1,150M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9439,,retrieval,suite
ProtSent-V1,150M,n/a,SCOPe-40 Structural Retrieval,MAP,0.6431,,retrieval,suite
ProtSent-V2,150M,n/a,SCOPe-40 Structural Retrieval,R@1,0.7431,,retrieval,suite
ProtSent-V2,150M,n/a,SCOPe-40 Structural Retrieval,R@10,0.9368,,retrieval,suite
ProtSent-V2,150M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9681,,retrieval,suite
ProtSent-V2,150M,n/a,SCOPe-40 Structural Retrieval,MAP,0.7046,,retrieval,suite
ProtSent-V2.5,150M,n/a,SCOPe-40 Structural Retrieval,R@1,0.7513,,retrieval,suite
ProtSent-V2.5,150M,n/a,SCOPe-40 Structural Retrieval,R@10,0.9445,,retrieval,suite
ProtSent-V2.5,150M,n/a,SCOPe-40 Structural Retrieval,R@30,0.9722,,retrieval,suite
ProtSent-V2.5,150M,n/a,SCOPe-40 Structural Retrieval,MAP,0.7227,,retrieval,suite
ESM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,R@1,0.3709,,retrieval,suite
ESM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,R@10,0.5794,,retrieval,suite
ESM-C 300M (uncontrolled),300M,n/a,SCOPe-40 Structural Retrieval,R@30,0.6822,,retrieval,suite
