model,scale,probe,task,metric,value,auc_undefined,kind,source
ProtSent-V2.5-noGOR,35M,knn,Temperature Stability,Accuracy,0.8518,True,suite,
ProtSent-V2.5-noGOR,35M,knn,Subcellular Localisation,AUC,0.8212,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Stability (Biomap),Spearman,0.609,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Solubility (DeepSol),AUC,0.5454,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9815,False,suite,
ProtSent-V2.5-noGOR,35M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.6528,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Remote Homology (Fold),Accuracy,0.6646,True,suite,
ProtSent-V2.5-noGOR,35M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9564,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Peptide-HLA Binding,AUC,0.8029,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Thermostability (FLIP),Spearman,0.4516,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Optimal pH,Spearman,0.5613,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Material Production,AUC,0.7641,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Molecular Function (GO),F1_Macro,0.4532,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Fluorescence (TAPE),Spearman,0.462,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Enzyme Catalytic Efficiency,Spearman,0.6749,False,suite,
ProtSent-V2.5-noGOR,35M,knn,EC Classification,F1_Macro,0.5962,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Cloning Classification,Spearman,0.3912,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Binary Subcellular Localization,AUC,0.8954,False,suite,
ProtSent-V2.5-noGOR,35M,knn,beta-lactamase-PEER,Spearman,0.7261,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Antibiotic Resistance,Accuracy,0.9628,True,suite,
ProtSent-V2.5-noGOR,35M,knn,Metal Ion Binding,AUC,0.8014,False,suite,
ProtSent-V2.5-noGOR,35M,knn,Variant Effect (GB1),Spearman,0.791,False,suite,
ProtSent-V2.5-noGOR,35M,linear,AAV Fitness (FLIP),Spearman,0.2998,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Temperature Stability,Accuracy,0.8974,True,suite,
ProtSent-V2.5-noGOR,35M,linear,Subcellular Localisation,AUC,0.8892,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Stability (Biomap),Spearman,0.4941,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Solubility (DeepSol),AUC,0.693,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9952,False,suite,
ProtSent-V2.5-noGOR,35M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.6528,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Remote Homology (Fold),Accuracy,0.7056,True,suite,
ProtSent-V2.5-noGOR,35M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9637,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Peptide-HLA Binding,AUC,0.8578,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Thermostability (FLIP),Spearman,0.5515,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Optimal pH,Spearman,0.4598,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Material Production,AUC,0.8228,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Molecular Function (GO),F1_Macro,0.4532,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Fluorescence (TAPE),Spearman,0.5955,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Enzyme Catalytic Efficiency,Spearman,0.5075,False,suite,
ProtSent-V2.5-noGOR,35M,linear,EC Classification,F1_Macro,0.5962,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Cloning Classification,Spearman,0.4334,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Binary Subcellular Localization,AUC,0.8932,False,suite,
ProtSent-V2.5-noGOR,35M,linear,beta-lactamase-PEER,Spearman,0.5926,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Antibiotic Resistance,Accuracy,0.9673,True,suite,
ProtSent-V2.5-noGOR,35M,linear,Metal Ion Binding,AUC,0.7341,False,suite,
ProtSent-V2.5-noGOR,35M,linear,Variant Effect (GB1),Spearman,0.8266,False,suite,
ESM-2 150M,150M,knn,AAV Fitness (FLIP),Spearman,0.4345,False,suite,
ESM-2 150M,150M,knn,Temperature Stability,Accuracy,0.8911,True,suite,
ESM-2 150M,150M,knn,Subcellular Localisation,AUC,0.8188,False,suite,
ESM-2 150M,150M,knn,Stability (Biomap),Spearman,0.6495,False,suite,
ESM-2 150M,150M,knn,Solubility (DeepSol),AUC,0.5465,False,suite,
ESM-2 150M,150M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9804,False,suite,
ESM-2 150M,150M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.4236,False,suite,
ESM-2 150M,150M,knn,Remote Homology (Fold),Accuracy,0.5194,True,suite,
ESM-2 150M,150M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9777,False,suite,
ESM-2 150M,150M,knn,Peptide-HLA Binding,AUC,0.7565,False,suite,
ESM-2 150M,150M,knn,Thermostability (FLIP),Spearman,0.4377,False,suite,
ESM-2 150M,150M,knn,Optimal pH,Spearman,0.5622,False,suite,
ESM-2 150M,150M,knn,Material Production,AUC,0.7582,False,suite,
ESM-2 150M,150M,knn,Molecular Function (GO),F1_Macro,0.5116,False,suite,
ESM-2 150M,150M,knn,Fluorescence (TAPE),Spearman,0.3802,False,suite,
ESM-2 150M,150M,knn,Enzyme Catalytic Efficiency,Spearman,0.706,False,suite,
ESM-2 150M,150M,knn,EC Classification,F1_Macro,0.6466,False,suite,
ESM-2 150M,150M,knn,Cloning Classification,Spearman,0.3754,False,suite,
ESM-2 150M,150M,knn,Binary Subcellular Localization,AUC,0.8964,False,suite,
ESM-2 150M,150M,knn,beta-lactamase-PEER,Spearman,0.7728,False,suite,
ESM-2 150M,150M,knn,Antibiotic Resistance,Accuracy,0.968,True,suite,
ESM-2 150M,150M,knn,Metal Ion Binding,AUC,0.7973,False,suite,
ESM-2 150M,150M,knn,Variant Effect (GB1),Spearman,0.6607,False,suite,
ESM-2 150M,150M,linear,AAV Fitness (FLIP),Spearman,0.5887,False,suite,
ESM-2 150M,150M,linear,Temperature Stability,Accuracy,0.9264,True,suite,
ESM-2 150M,150M,linear,Subcellular Localisation,AUC,0.9203,False,suite,
ESM-2 150M,150M,linear,Stability (Biomap),Spearman,0.706,False,suite,
ESM-2 150M,150M,linear,Solubility (DeepSol),AUC,0.7211,False,suite,
ESM-2 150M,150M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9942,False,suite,
ESM-2 150M,150M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.4236,False,suite,
ESM-2 150M,150M,linear,Remote Homology (Fold),Accuracy,0.75,True,suite,
ESM-2 150M,150M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9802,False,suite,
ESM-2 150M,150M,linear,Peptide-HLA Binding,AUC,0.863,False,suite,
ESM-2 150M,150M,linear,Thermostability (FLIP),Spearman,0.5605,False,suite,
ESM-2 150M,150M,linear,Optimal pH,Spearman,0.5315,False,suite,
ESM-2 150M,150M,linear,Material Production,AUC,0.8528,False,suite,
ESM-2 150M,150M,linear,Molecular Function (GO),F1_Macro,0.5116,False,suite,
ESM-2 150M,150M,linear,Fluorescence (TAPE),Spearman,0.5799,False,suite,
ESM-2 150M,150M,linear,Enzyme Catalytic Efficiency,Spearman,0.5466,False,suite,
ESM-2 150M,150M,linear,EC Classification,F1_Macro,0.6466,False,suite,
ESM-2 150M,150M,linear,Cloning Classification,Spearman,0.5071,False,suite,
ESM-2 150M,150M,linear,Binary Subcellular Localization,AUC,0.9499,False,suite,
ESM-2 150M,150M,linear,beta-lactamase-PEER,Spearman,0.7788,False,suite,
ESM-2 150M,150M,linear,Antibiotic Resistance,Accuracy,0.9814,True,suite,
ESM-2 150M,150M,linear,Metal Ion Binding,AUC,0.792,False,suite,
ESM-2 150M,150M,linear,Variant Effect (GB1),Spearman,0.8047,False,suite,
ProtSent-V1,150M,knn,AAV Fitness (FLIP),Spearman,0.4663,False,suite,
ProtSent-V1,150M,knn,Temperature Stability,Accuracy,0.848,True,suite,
ProtSent-V1,150M,knn,Subcellular Localisation,AUC,0.8265,False,suite,
ProtSent-V1,150M,knn,Stability (Biomap),Spearman,0.6097,False,suite,
ProtSent-V1,150M,knn,Solubility (DeepSol),AUC,0.5485,False,suite,
ProtSent-V1,150M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.974,False,suite,
ProtSent-V1,150M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.6431,False,suite,
ProtSent-V1,150M,knn,Remote Homology (Fold),Accuracy,0.7047,True,suite,
ProtSent-V1,150M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9614,False,suite,
ProtSent-V1,150M,knn,Peptide-HLA Binding,AUC,0.779,False,suite,
ProtSent-V1,150M,knn,Thermostability (FLIP),Spearman,0.4606,False,suite,
ProtSent-V1,150M,knn,Optimal pH,Spearman,0.5836,False,suite,
ProtSent-V1,150M,knn,Material Production,AUC,0.7666,False,suite,
ProtSent-V1,150M,knn,Molecular Function (GO),F1_Macro,0.4961,False,suite,
ProtSent-V1,150M,knn,Fluorescence (TAPE),Spearman,0.4619,False,suite,
ProtSent-V1,150M,knn,Enzyme Catalytic Efficiency,Spearman,0.6777,False,suite,
ProtSent-V1,150M,knn,EC Classification,F1_Macro,0.604,False,suite,
ProtSent-V1,150M,knn,Cloning Classification,Spearman,0.3789,False,suite,
ProtSent-V1,150M,knn,Binary Subcellular Localization,AUC,0.901,False,suite,
ProtSent-V1,150M,knn,beta-lactamase-PEER,Spearman,0.7423,False,suite,
ProtSent-V1,150M,knn,Antibiotic Resistance,Accuracy,0.9628,True,suite,
ProtSent-V1,150M,knn,Metal Ion Binding,AUC,0.8147,False,suite,
ProtSent-V1,150M,knn,Variant Effect (GB1),Spearman,0.7983,False,suite,
ProtSent-V1,150M,linear,AAV Fitness (FLIP),Spearman,0.3976,False,suite,
ProtSent-V1,150M,linear,Temperature Stability,Accuracy,0.8908,True,suite,
ProtSent-V1,150M,linear,Subcellular Localisation,AUC,0.9156,False,suite,
ProtSent-V1,150M,linear,Stability (Biomap),Spearman,0.6987,False,suite,
ProtSent-V1,150M,linear,Solubility (DeepSol),AUC,0.7085,False,suite,
ProtSent-V1,150M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9941,False,suite,
ProtSent-V1,150M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.6431,False,suite,
ProtSent-V1,150M,linear,Remote Homology (Fold),Accuracy,0.7401,True,suite,
ProtSent-V1,150M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9762,False,suite,
ProtSent-V1,150M,linear,Peptide-HLA Binding,AUC,0.8374,False,suite,
ProtSent-V1,150M,linear,Thermostability (FLIP),Spearman,0.5581,False,suite,
ProtSent-V1,150M,linear,Optimal pH,Spearman,0.517,False,suite,
ProtSent-V1,150M,linear,Material Production,AUC,0.84,False,suite,
ProtSent-V1,150M,linear,Molecular Function (GO),F1_Macro,0.4961,False,suite,
ProtSent-V1,150M,linear,Fluorescence (TAPE),Spearman,0.6079,False,suite,
ProtSent-V1,150M,linear,Enzyme Catalytic Efficiency,Spearman,0.5478,False,suite,
ProtSent-V1,150M,linear,EC Classification,F1_Macro,0.604,False,suite,
ProtSent-V1,150M,linear,Cloning Classification,Spearman,0.4783,False,suite,
ProtSent-V1,150M,linear,Binary Subcellular Localization,AUC,0.9351,False,suite,
ProtSent-V1,150M,linear,beta-lactamase-PEER,Spearman,0.6807,False,suite,
ProtSent-V1,150M,linear,Antibiotic Resistance,Accuracy,0.9747,True,suite,
ProtSent-V1,150M,linear,Metal Ion Binding,AUC,0.7891,False,suite,
ProtSent-V1,150M,linear,Variant Effect (GB1),Spearman,0.8448,False,suite,
ProtSent-V2,150M,knn,AAV Fitness (FLIP),Spearman,0.5031,False,suite,
ProtSent-V2,150M,knn,Temperature Stability,Accuracy,0.8619,True,suite,
ProtSent-V2,150M,knn,Subcellular Localisation,AUC,0.8358,False,suite,
ProtSent-V2,150M,knn,Stability (Biomap),Spearman,0.6239,False,suite,
ProtSent-V2,150M,knn,Solubility (DeepSol),AUC,0.5263,False,suite,
ProtSent-V2,150M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9827,False,suite,
ProtSent-V2,150M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.7046,False,suite,
ProtSent-V2,150M,knn,Remote Homology (Fold),Accuracy,0.6612,True,suite,
ProtSent-V2,150M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9713,False,suite,
ProtSent-V2,150M,knn,Peptide-HLA Binding,AUC,0.7999,False,suite,
ProtSent-V2,150M,knn,Thermostability (FLIP),Spearman,0.4623,False,suite,
ProtSent-V2,150M,knn,Optimal pH,Spearman,0.5892,False,suite,
ProtSent-V2,150M,knn,Material Production,AUC,0.7644,False,suite,
ProtSent-V2,150M,knn,Molecular Function (GO),F1_Macro,0.5148,False,suite,
ProtSent-V2,150M,knn,Fluorescence (TAPE),Spearman,0.3839,False,suite,
ProtSent-V2,150M,knn,Enzyme Catalytic Efficiency,Spearman,0.6909,False,suite,
ProtSent-V2,150M,knn,EC Classification,F1_Macro,0.6253,False,suite,
ProtSent-V2,150M,knn,Cloning Classification,Spearman,0.3627,False,suite,
ProtSent-V2,150M,knn,Binary Subcellular Localization,AUC,0.9032,False,suite,
ProtSent-V2,150M,knn,beta-lactamase-PEER,Spearman,0.7619,False,suite,
ProtSent-V2,150M,knn,Antibiotic Resistance,Accuracy,0.9658,True,suite,
ProtSent-V2,150M,knn,Metal Ion Binding,AUC,0.8166,False,suite,
ProtSent-V2,150M,knn,Variant Effect (GB1),Spearman,0.77,False,suite,
ProtSent-V2,150M,linear,AAV Fitness (FLIP),Spearman,0.4509,False,suite,
ProtSent-V2,150M,linear,Temperature Stability,Accuracy,0.9097,True,suite,
ProtSent-V2,150M,linear,Subcellular Localisation,AUC,0.9079,False,suite,
ProtSent-V2,150M,linear,Stability (Biomap),Spearman,0.6625,False,suite,
ProtSent-V2,150M,linear,Solubility (DeepSol),AUC,0.7076,False,suite,
ProtSent-V2,150M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9961,False,suite,
ProtSent-V2,150M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.7046,False,suite,
ProtSent-V2,150M,linear,Remote Homology (Fold),Accuracy,0.7503,True,suite,
ProtSent-V2,150M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9714,False,suite,
ProtSent-V2,150M,linear,Peptide-HLA Binding,AUC,0.8712,False,suite,
ProtSent-V2,150M,linear,Thermostability (FLIP),Spearman,0.5606,False,suite,
ProtSent-V2,150M,linear,Optimal pH,Spearman,0.5034,False,suite,
ProtSent-V2,150M,linear,Material Production,AUC,0.8344,False,suite,
ProtSent-V2,150M,linear,Molecular Function (GO),F1_Macro,0.5148,False,suite,
ProtSent-V2,150M,linear,Fluorescence (TAPE),Spearman,0.5908,False,suite,
ProtSent-V2,150M,linear,Enzyme Catalytic Efficiency,Spearman,0.5432,False,suite,
ProtSent-V2,150M,linear,EC Classification,F1_Macro,0.6253,False,suite,
ProtSent-V2,150M,linear,Cloning Classification,Spearman,0.4345,False,suite,
ProtSent-V2,150M,linear,Binary Subcellular Localization,AUC,0.9234,False,suite,
ProtSent-V2,150M,linear,beta-lactamase-PEER,Spearman,0.6454,False,suite,
ProtSent-V2,150M,linear,Antibiotic Resistance,Accuracy,0.9725,True,suite,
ProtSent-V2,150M,linear,Metal Ion Binding,AUC,0.769,False,suite,
ProtSent-V2,150M,linear,Variant Effect (GB1),Spearman,0.8294,False,suite,
ProtSent-V2.5,150M,knn,AAV Fitness (FLIP),Spearman,0.5062,False,suite,
ProtSent-V2.5,150M,knn,Temperature Stability,Accuracy,0.8617,True,suite,
ProtSent-V2.5,150M,knn,Subcellular Localisation,AUC,0.837,False,suite,
ProtSent-V2.5,150M,knn,Stability (Biomap),Spearman,0.6375,False,suite,
ProtSent-V2.5,150M,knn,Solubility (DeepSol),AUC,0.5319,False,suite,
ProtSent-V2.5,150M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9806,False,suite,
ProtSent-V2.5,150M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.7227,False,suite,
ProtSent-V2.5,150M,knn,Remote Homology (Fold),Accuracy,0.681,True,suite,
ProtSent-V2.5,150M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9728,False,suite,
ProtSent-V2.5,150M,knn,Peptide-HLA Binding,AUC,0.8008,False,suite,
ProtSent-V2.5,150M,knn,Thermostability (FLIP),Spearman,0.4952,False,suite,
ProtSent-V2.5,150M,knn,Optimal pH,Spearman,0.5869,False,suite,
ProtSent-V2.5,150M,knn,Material Production,AUC,0.7721,False,suite,
ProtSent-V2.5,150M,knn,Molecular Function (GO),F1_Macro,0.5011,False,suite,
ProtSent-V2.5,150M,knn,Fluorescence (TAPE),Spearman,0.4521,False,suite,
ProtSent-V2.5,150M,knn,Enzyme Catalytic Efficiency,Spearman,0.6857,False,suite,
ProtSent-V2.5,150M,knn,EC Classification,F1_Macro,0.6205,False,suite,
ProtSent-V2.5,150M,knn,Cloning Classification,Spearman,0.3857,False,suite,
ProtSent-V2.5,150M,knn,Binary Subcellular Localization,AUC,0.9027,False,suite,
ProtSent-V2.5,150M,knn,beta-lactamase-PEER,Spearman,0.7833,False,suite,
ProtSent-V2.5,150M,knn,Antibiotic Resistance,Accuracy,0.9688,True,suite,
ProtSent-V2.5,150M,knn,Metal Ion Binding,AUC,0.8054,False,suite,
ProtSent-V2.5,150M,knn,Variant Effect (GB1),Spearman,0.7953,False,suite,
ProtSent-V2.5,150M,linear,AAV Fitness (FLIP),Spearman,0.3646,False,suite,
ProtSent-V2.5,150M,linear,Temperature Stability,Accuracy,0.9145,True,suite,
ProtSent-V2.5,150M,linear,Subcellular Localisation,AUC,0.9126,False,suite,
ProtSent-V2.5,150M,linear,Stability (Biomap),Spearman,0.6391,False,suite,
ProtSent-V2.5,150M,linear,Solubility (DeepSol),AUC,0.7049,False,suite,
ProtSent-V2.5,150M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9958,False,suite,
ProtSent-V2.5,150M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.7227,False,suite,
ProtSent-V2.5,150M,linear,Remote Homology (Fold),Accuracy,0.7503,True,suite,
ProtSent-V2.5,150M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9724,False,suite,
ProtSent-V2.5,150M,linear,Peptide-HLA Binding,AUC,0.8747,False,suite,
ProtSent-V2.5,150M,linear,Thermostability (FLIP),Spearman,0.5605,False,suite,
ProtSent-V2.5,150M,linear,Optimal pH,Spearman,0.4989,False,suite,
ProtSent-V2.5,150M,linear,Material Production,AUC,0.8343,False,suite,
ProtSent-V2.5,150M,linear,Molecular Function (GO),F1_Macro,0.5011,False,suite,
ProtSent-V2.5,150M,linear,Fluorescence (TAPE),Spearman,0.6059,False,suite,
ProtSent-V2.5,150M,linear,Enzyme Catalytic Efficiency,Spearman,0.5403,False,suite,
ProtSent-V2.5,150M,linear,EC Classification,F1_Macro,0.6205,False,suite,
ProtSent-V2.5,150M,linear,Cloning Classification,Spearman,0.4406,False,suite,
ProtSent-V2.5,150M,linear,Binary Subcellular Localization,AUC,0.9175,False,suite,
ProtSent-V2.5,150M,linear,beta-lactamase-PEER,Spearman,0.6939,False,suite,
ProtSent-V2.5,150M,linear,Antibiotic Resistance,Accuracy,0.974,True,suite,
ProtSent-V2.5,150M,linear,Metal Ion Binding,AUC,0.761,False,suite,
ProtSent-V2.5,150M,linear,Variant Effect (GB1),Spearman,0.8268,False,suite,
ESM-C 300M (uncontrolled),300M,knn,AAV Fitness (FLIP),Spearman,0.4921,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Temperature Stability,Accuracy,0.9257,True,suite,
ESM-C 300M (uncontrolled),300M,knn,Subcellular Localisation,AUC,0.7862,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Stability (Biomap),Spearman,0.6935,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Solubility (DeepSol),AUC,0.5944,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9749,False,suite,
ESM-C 300M (uncontrolled),300M,knn,SCOPe-40 Structural Retrieval,eligible_MAP,0.2212,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Remote Homology (Fold),Accuracy,0.3545,True,suite,
ESM-C 300M (uncontrolled),300M,knn,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9781,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Peptide-HLA Binding,AUC,0.722,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Thermostability (FLIP),Spearman,0.4497,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Optimal pH,Spearman,0.5113,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Material Production,AUC,0.7266,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Molecular Function (GO),F1_Macro,0.5164,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Fluorescence (TAPE),Spearman,0.3706,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Enzyme Catalytic Efficiency,Spearman,0.6957,False,suite,
ESM-C 300M (uncontrolled),300M,knn,EC Classification,F1_Macro,0.6404,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Cloning Classification,Spearman,0.3272,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Binary Subcellular Localization,AUC,0.8813,False,suite,
ESM-C 300M (uncontrolled),300M,knn,beta-lactamase-PEER,Spearman,0.8239,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Antibiotic Resistance,Accuracy,0.9628,True,suite,
ESM-C 300M (uncontrolled),300M,knn,Metal Ion Binding,AUC,0.7369,False,suite,
ESM-C 300M (uncontrolled),300M,knn,Variant Effect (GB1),Spearman,0.7989,False,suite,
ESM-C 300M (uncontrolled),300M,linear,AAV Fitness (FLIP),Spearman,0.6058,False,suite,
ESM-C 300M (uncontrolled),300M,linear,Temperature Stability,Accuracy,0.9562,True,suite,
ESM-C 300M (uncontrolled),300M,linear,Subcellular Localisation,AUC,0.9231,False,suite,
ESM-C 300M (uncontrolled),300M,linear,Stability (Biomap),Spearman,0.755,False,suite,
ESM-C 300M (uncontrolled),300M,linear,Solubility (DeepSol),AUC,0.7538,False,suite,
ESM-C 300M (uncontrolled),300M,linear,Signal Peptide Prediction (SignalP/ProteinBERT),AUC,0.9942,False,suite,
ESM-C 300M (uncontrolled),300M,linear,SCOPe-40 Structural Retrieval,eligible_MAP,0.2212,False,suite,
ESM-C 300M (uncontrolled),300M,linear,Remote Homology (Fold),Accuracy,0.6995,True,suite,
ESM-C 300M (uncontrolled),300M,linear,Neuropeptide Precursor Prediction (ProFET/NeuroPID),AUC,0.9915,False,suite,
ESM-C 300M (uncontrolled),300M,linear,Peptide-HLA Binding,AUC,0.8659,False,suite,
