MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,eligible_ap_ci95,eligible_hit10_ci95,eligible_hit1_ci95,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.5378697257342276,0.866787494336203,0.9184413230629814,0.9320344358858178,0.5610011742417016,0.9040642722117203,0.9579395085066162,0.972117202268431,"[0.5482, 0.5738]","[0.9494, 0.9664]","[0.8913, 0.9164]",fold,protsent_late_150m@0,2116,2207,45.76,maxsim
0.6024398894591544,0.8237426370638876,0.8776619845944721,0.8894426823742637,0.658210314869482,0.9,0.9589108910891089,0.9717821782178218,"[0.6447, 0.6703]","[0.9500, 0.9678]","[0.8871, 0.9129]",superfamily,protsent_late_150m@0,2020,2207,45.76,maxsim
0.5533572972136328,0.5786135024920707,0.7236067059356592,0.7430901676483915,0.7213582722684512,0.7542823390431187,0.9432959243945659,0.9686946249261665,"[0.7059, 0.7360]","[0.9315, 0.9533]","[0.7330, 0.7767]",family,protsent_late_150m@0,1693,2207,45.76,maxsim
0.6151422679649999,0.8812868146805618,0.9252378794743996,0.940643407340281,0.641596874006973,0.9191871455576559,0.9650283553875236,0.9810964083175804,"[0.6286, 0.6542]","[0.9570, 0.9726]","[0.9078, 0.9305]",fold,protsent_late_150m@1000,2116,2207,44.74,maxsim
0.654841256439783,0.8382419574082465,0.8812868146805618,0.8953330312641595,0.7154626994864361,0.9158415841584159,0.9628712871287128,0.9782178217821782,"[0.7023, 0.7280]","[0.9545, 0.9708]","[0.9040, 0.9277]",superfamily,protsent_late_150m@1000,2020,2207,44.74,maxsim
0.570044129177068,0.5953783416402356,0.7281377435432714,0.7476212052560036,0.7431112776691017,0.7761370348493798,0.9492025989367986,0.9746012994683992,"[0.7272, 0.7574]","[0.9386, 0.9587]","[0.7549, 0.7939]",family,protsent_late_150m@1000,1693,2207,44.74,maxsim
0.6288419528312975,0.8849116447666515,0.9265971907566832,0.942908926144087,0.6558857230144961,0.9229678638941399,0.9664461247637051,0.9834593572778828,"[0.6429, 0.6689]","[0.9579, 0.9740]","[0.9116, 0.9338]",fold,protsent_late_150m@2000,2116,2207,44.81,maxsim
0.6714604642528369,0.8441323062981423,0.8835523334843679,0.8962392387856819,0.7336204181217875,0.9222772277227723,0.9653465346534653,0.9792079207920792,"[0.7212, 0.7456]","[0.9574, 0.9738]","[0.9109, 0.9342]",superfamily,protsent_late_150m@2000,2020,2207,44.81,maxsim
0.5790572531423668,0.6039873130946987,0.7313094698685999,0.7494336202990485,0.7548608137538119,0.787359716479622,0.9533372711163615,0.9769639692852924,"[0.7394, 0.7686]","[0.9433, 0.9622]","[0.7673, 0.8063]",family,protsent_late_150m@2000,1693,2207,44.81,maxsim
0.6288583242904919,0.8871771635704576,0.9256909832351609,0.9410965111010421,0.6559027985392795,0.9253308128544423,0.9655009451795841,0.9815689981096408,"[0.6433, 0.6686]","[0.9570, 0.9731]","[0.9140, 0.9362]",fold,protsent_late_150m@2500,2116,2207,44.73,maxsim
0.6692536662893299,0.8450385138196647,0.8830992297236067,0.8953330312641595,0.7312093274755205,0.9232673267326733,0.9648514851485148,0.9782178217821782,"[0.7182, 0.7429]","[0.9564, 0.9728]","[0.9124, 0.9351]",superfamily,protsent_late_150m@2500,2020,2207,44.73,maxsim
0.5798447927757052,0.6030811055731763,0.7308563661078387,0.7489805165382872,0.7558874528387368,0.7861783815711755,0.9527466036621383,0.9763733018310691,"[0.7403, 0.7698]","[0.9427, 0.9616]","[0.7655, 0.8045]",family,protsent_late_150m@2500,1693,2207,44.73,maxsim
0.6321528338768173,0.8926144086995922,0.9284096057997281,0.942908926144087,0.659338990721236,0.9310018903591682,0.968336483931947,0.9834593572778828,"[0.6467, 0.6722]","[0.9608, 0.9754]","[0.9192, 0.9414]",fold,protsent_late_150m@3500,2116,2207,44.8,maxsim
0.6743771255449656,0.8504757589487992,0.8844585410058904,0.8975985500679655,0.7368070871671976,0.9292079207920793,0.9663366336633663,0.9806930693069307,"[0.7242, 0.7485]","[0.9584, 0.9743]","[0.9183, 0.9406]",superfamily,protsent_late_150m@3500,2020,2207,44.8,maxsim
