MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,eligible_ap_ci95,eligible_hit10_ci95,eligible_hit1_ci95,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.3648382440453818,0.6692342546443135,0.8178522881739918,0.87313094698686,0.38052835756529185,0.6980151228733459,0.8530245746691871,0.9106805293005671,"[0.3668, 0.3941]","[0.8374, 0.8677]","[0.6777, 0.7155]",fold,vanilla35m_clean@0,2116,2207,42.31,maxsim
0.411708854872268,0.6352514725872225,0.7729950158586316,0.8155867693701858,0.449822496387671,0.694059405940594,0.8445544554455445,0.8910891089108911,"[0.4351, 0.4647]","[0.8302, 0.8599]","[0.6748, 0.7149]",superfamily,vanilla35m_clean@0,2020,2207,42.31,maxsim
0.40688069755369805,0.4458541005890349,0.6112369732668781,0.6497507929315813,0.530410927053167,0.5812167749556999,0.7968103957471944,0.8470171293561725,"[0.5109, 0.5493]","[0.7761, 0.8169]","[0.5570, 0.6054]",family,vanilla35m_clean@0,1693,2207,42.31,maxsim
0.5911870536077433,0.8722247394653375,0.927956502038967,0.9415496148618033,0.616611449580477,0.9097353497164461,0.9678638941398866,0.9820415879017014,"[0.6038, 0.6290]","[0.9594, 0.9754]","[0.8960, 0.9211]",fold,vanilla35m_clean@1000,2116,2207,40.47,maxsim
0.628076687880339,0.8246488445854101,0.8821930222020843,0.894426823742637,0.6862204208672813,0.900990099009901,0.9638613861386138,0.9772277227722772,"[0.6740, 0.6989]","[0.9554, 0.9713]","[0.8871, 0.9139]",superfamily,vanilla35m_clean@1000,2020,2207,40.47,maxsim
0.5530213363373271,0.5890348889895786,0.7281377435432714,0.7489805165382872,0.7209203126382049,0.7678676904902539,0.9492025989367986,0.9763733018310691,"[0.7057, 0.7364]","[0.9380, 0.9598]","[0.7466, 0.7862]",family,vanilla35m_clean@1000,1693,2207,40.47,maxsim
0.5876679856709387,0.8849116447666515,0.9297689170820118,0.9442682374263707,0.6129410417654829,0.9229678638941399,0.9697542533081286,0.9848771266540642,"[0.6006, 0.6252]","[0.9622, 0.9768]","[0.9116, 0.9343]",fold,vanilla35m_clean@2000,2116,2207,40.6,maxsim
0.6340595319046811,0.8382419574082465,0.8849116447666515,0.8971454463072044,0.692757122234471,0.9158415841584159,0.9668316831683168,0.9801980198019802,"[0.6804, 0.7060]","[0.9589, 0.9738]","[0.9035, 0.9272]",superfamily,vanilla35m_clean@2000,2020,2207,40.6,maxsim
0.5581966880970199,0.5953783416402356,0.7299501585863163,0.7512460353420933,0.7276669170880821,0.7761370348493798,0.9515652687536916,0.9793266391021854,"[0.7128, 0.7435]","[0.9403, 0.9616]","[0.7561, 0.7962]",family,vanilla35m_clean@2000,1693,2207,40.6,maxsim
0.5739556660544387,0.879474399637517,0.9293158133212506,0.940643407340281,0.598639014641846,0.917296786389414,0.969281663516068,0.9810964083175804,"[0.5868, 0.6112]","[0.9622, 0.9768]","[0.9050, 0.9286]",fold,vanilla35m_clean@3000,2116,2207,40.89,maxsim
0.6249933617407772,0.841413683733575,0.885817852288174,0.8948799275033983,0.6828516580999483,0.9193069306930693,0.9678217821782178,0.9777227722772277,"[0.6699, 0.6965]","[0.9604, 0.9748]","[0.9069, 0.9307]",superfamily,vanilla35m_clean@3000,2020,2207,40.89,maxsim
0.5584543788028055,0.5967376529225192,0.733574988672406,0.7476212052560036,0.7280028434836335,0.7779090372120496,0.9562906083874778,0.9746012994683992,"[0.7135, 0.7426]","[0.9462, 0.9663]","[0.7590, 0.7968]",family,vanilla35m_clean@3000,1693,2207,40.89,maxsim
0.5988892454157636,0.8867240598096964,0.930222020842773,0.9433620299048482,0.6246448793159691,0.9248582230623819,0.970226843100189,0.9839319470699432,"[0.6124, 0.6372]","[0.9627, 0.9773]","[0.9135, 0.9362]",fold,vanilla35m_clean@4000,2116,2207,40.7,maxsim
0.6419114967123056,0.8418667874943362,0.8849116447666515,0.8966923425464431,0.7013359768534941,0.9198019801980198,0.9668316831683168,0.9797029702970297,"[0.6890, 0.7145]","[0.9589, 0.9738]","[0.9074, 0.9312]",superfamily,vanilla35m_clean@4000,2020,2207,40.7,maxsim
0.5652645360963561,0.6039873130946987,0.7331218849116448,0.7507929315813321,0.7368805854487053,0.787359716479622,0.9556999409332546,0.9787359716479622,"[0.7225, 0.7516]","[0.9451, 0.9652]","[0.7679, 0.8069]",family,vanilla35m_clean@4000,1693,2207,40.7,maxsim
0.6064984198777797,0.889895786135025,0.930222020842773,0.9433620299048482,0.63258129143207,0.9281663516068053,0.970226843100189,0.9839319470699432,"[0.6203, 0.6451]","[0.9622, 0.9773]","[0.9168, 0.9390]",fold,vanilla35m_clean@5000,2116,2207,57.76,maxsim
0.6487448496751176,0.8463978251019484,0.8849116447666515,0.8975985500679655,0.7088019223925666,0.9247524752475248,0.9668316831683168,0.9806930693069307,"[0.6966, 0.7218]","[0.9589, 0.9743]","[0.9134, 0.9356]",superfamily,vanilla35m_clean@5000,2020,2207,57.76,maxsim
0.5744167668207913,0.6116900770276393,0.7353874037154509,0.7535115541458994,0.7488114615318882,0.7974010632014176,0.958653278204371,0.9822799763733018,"[0.7342, 0.7631]","[0.9480, 0.9681]","[0.7785, 0.8169]",family,vanilla35m_clean@5000,1693,2207,57.76,maxsim
0.5927305265377076,0.8885364748527412,0.9275033982782057,0.9420027186225646,0.6182213005995845,0.9267485822306238,0.967391304347826,0.9825141776937618,"[0.6062, 0.6303]","[0.9598, 0.9745]","[0.9154, 0.9376]",fold,vanilla35m_clean@6000,2116,2207,40.82,maxsim
0.6402185145502537,0.8454916175804259,0.8853647485274128,0.8966923425464431,0.6994862681249553,0.9237623762376238,0.9673267326732673,0.9797029702970297,"[0.6877, 0.7121]","[0.9594, 0.9743]","[0.9124, 0.9352]",superfamily,vanilla35m_clean@6000,2020,2207,40.82,maxsim
