aggregation,cap,ci95,corrected_average,dataset_revision,kind,mean_score,metric,model,model_revision,n_assays,n_boot,n_variants_dropped_truncated,n_variants_scored,path,proj_dim,runtime_s,scoring,variant
per_group_mean,0,"[0.3117, 0.3568]",0.3251,unpinned,zeroshot,0.3326673583389892,spearman,protsent_v2_150m_zeroshot,,214,1000,3675,2459339,GrimSqueaker/ProtSent-V2-150M,0,6653.5,maxsim,dms_substitutions
per_group_mean,0,"[0.5091, 0.5945]",nan,unpinned,zeroshot,0.5508014470537584,spearman,protsent_v2_150m_zeroshot,efb72b0357f8ba7de9e9f626599cbd32653c82f1,66,1000,0,287207,GrimSqueaker/ProtSent-V2-150M,0,1703.7,maxsim,dms_indels
