Model,Task,Samples,Date,Probe,EvalMode,EvalSplit,EvalStrategy,EmbeddingNorm,CodeVersion,BenchmarkSeed,Spearman,Pearson,MSE,MAE,R2,ProbeFitSec,Accuracy,F1_Macro,BalancedAccuracy,MCC,F1_Weighted,F1,AUC,AP,F1_Micro
GrimSqueaker/ProtSent-V2-150M,AAV Fitness (FLIP),Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.49127,0.45395,15.36756,2.7215,-0.98128,0.25509,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Antibiotic Resistance,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.38231,0.97247,0.89758,0.88556,0.9563,0.97181,,,,
GrimSqueaker/ProtSent-V2-150M,Binary Subcellular Localization,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.20724,0.86621,0.86326,0.86364,0.72653,,0.88335,0.92387,0.92709,
GrimSqueaker/ProtSent-V2-150M,Cloning Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.43474,0.442,0.1947,0.38255,0.19187,0.37893,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,EC Classification,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,402.60606,0.61783,0.62745,,,,,,,0.81123
GrimSqueaker/ProtSent-V2-150M,Enzyme Catalytic Efficiency,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.54369,0.54249,17.74254,3.1809,0.2874,0.17148,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Fluorescence (TAPE),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.59229,0.62612,1.00217,0.75483,-0.05596,0.42933,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Material Production,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,1.20746,0.78418,0.72456,0.71166,0.45925,,0.85271,0.83462,0.91756,
GrimSqueaker/ProtSent-V2-150M,Metal Ion Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.22727,0.70796,0.70795,0.70796,0.41593,,0.70686,0.769,0.77364,
GrimSqueaker/ProtSent-V2-150M,Optimal pH,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.50321,0.60205,0.85667,0.68374,0.35732,0.10472,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Peptide-HLA Binding,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,4.4064,0.79455,0.79453,0.79496,0.59028,,0.79675,0.86723,0.8386,
GrimSqueaker/ProtSent-V2-150M,Neuropeptide Precursor Prediction (ProFET/NeuroPID),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.10635,0.92878,0.91864,0.92742,0.83861,,0.94737,0.97256,0.98511,
GrimSqueaker/ProtSent-V2-150M,Remote Homology (Fold),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,25.71913,0.71301,0.43464,0.53292,0.70971,0.69963,,,,
GrimSqueaker/ProtSent-V2-150M,Signal Peptide Prediction (SignalP/ProteinBERT),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.72981,0.98531,0.97304,0.97389,0.94608,,0.95485,0.99616,0.98592,
GrimSqueaker/ProtSent-V2-150M,Solubility (DeepSol),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,4.66024,0.62969,0.61868,0.6296,0.27555,,0.55388,0.70777,0.6938,
GrimSqueaker/ProtSent-V2-150M,Stability (Biomap),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.66451,0.64227,0.19535,0.37973,-0.16944,1.29501,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Subcellular Localisation,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,0.96058,0.72693,0.6325,0.61938,0.66322,0.72529,,0.91109,,
GrimSqueaker/ProtSent-V2-150M,Temperature Stability,Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,,,,,,18.03531,0.91121,0.91116,0.91133,0.82239,0.91122,,,,
GrimSqueaker/ProtSent-V2-150M,Thermostability (FLIP),Full,2026-08-27,linear,standard,test,test_random_split,none,470d637,42,0.55764,0.55653,0.02987,0.1365,0.29423,0.05911,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,Variant Effect (GB1),Full,2026-08-27,linear,standard,test,test_split,none,470d637,42,0.85993,0.84052,0.42747,0.49628,0.70584,0.08395,,,,,,,,,
GrimSqueaker/ProtSent-V2-150M,beta-lactamase-PEER,Full,2026-08-27,linear,standard,test,test_split_column,none,470d637,42,0.69768,0.78457,0.04007,0.15346,0.6116,0.0589,,,,,,,,,
