MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,eligible_ap_ci95,eligible_hit10_ci95,eligible_hit1_ci95,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.5703180923648752,0.8767557770729497,0.9220661531490711,0.9347530584503851,0.594845004654669,0.9144612476370511,0.9617202268431002,0.974952741020794,"[0.5816, 0.6079]","[0.9532, 0.9693]","[0.9022, 0.9258]",fold,late-r2-protsentv2-150m@0,2116,2207,22.32,maxsim
0.6320950900150002,0.8328047122791119,0.8781150883552333,0.8903488898957861,0.6906108235955968,0.9099009900990099,0.9594059405940594,0.9727722772277227,"[0.6769, 0.7029]","[0.9505, 0.9678]","[0.8965, 0.9223]",superfamily,late-r2-protsentv2-150m@0,2020,2207,22.32,maxsim
0.5652532900670875,0.5908473040326234,0.7222473946533756,0.7453556864521975,0.7368659250904087,0.7702303603071471,0.941523922031896,0.9716479621972829,"[0.7215, 0.7521]","[0.9297, 0.9534]","[0.7507, 0.7903]",family,late-r2-protsentv2-150m@0,1693,2207,22.32,maxsim
0.5727660531596841,0.8726778432260988,0.9220661531490711,0.9383778885364749,0.59739824164623,0.9102079395085066,0.9617202268431002,0.9787334593572778,"[0.5842, 0.6096]","[0.9527, 0.9693]","[0.8970, 0.9220]",fold,late-r2-protsentv2-150m@1000,2116,2207,56.59,maxsim
0.6239977641939531,0.8300860897145447,0.879474399637517,0.8939737199818758,0.6817638938495318,0.906930693069307,0.9608910891089109,0.9767326732673267,"[0.6681, 0.6943]","[0.9520, 0.9693]","[0.8945, 0.9198]",superfamily,late-r2-protsentv2-150m@1000,2020,2207,56.59,maxsim
0.5579995000584204,0.5863162664250113,0.7227004984141369,0.74626189397372,0.7274098621553063,0.7643236857649144,0.9421145894861194,0.9728292971057295,"[0.7118, 0.7424]","[0.9309, 0.9533]","[0.7448, 0.7850]",family,late-r2-protsentv2-150m@1000,1693,2207,56.59,maxsim
0.589450860018102,0.8776619845944721,0.9243316719528772,0.9424558223833258,0.6148005898203928,0.915406427221172,0.9640831758034026,0.9829867674858223,"[0.6013, 0.6267]","[0.9556, 0.9712]","[0.9022, 0.9263]",fold,late-r2-protsentv2-150m@2000,2116,2207,56.94,maxsim
0.6401719280504966,0.8359764386044404,0.8826461259628455,0.8975985500679655,0.6994353689145771,0.9133663366336634,0.9643564356435643,0.9806930693069307,"[0.6867, 0.7116]","[0.9554, 0.9723]","[0.9015, 0.9262]",superfamily,late-r2-protsentv2-150m@2000,2020,2207,56.94,maxsim
0.5654824544459517,0.5926597190756683,0.727231536021749,0.7512460353420933,0.7371646644785678,0.7725930301240401,0.9480212640283521,0.9793266391021854,"[0.7223, 0.7519]","[0.9374, 0.9581]","[0.7525, 0.7927]",family,late-r2-protsentv2-150m@2000,1693,2207,56.94,maxsim
0.5838235288689346,0.8803806071590394,0.923878568192116,0.9388309922972361,0.60893125151878,0.918241965973535,0.9636105860113422,0.9792060491493384,"[0.5959, 0.6209]","[0.9546, 0.9707]","[0.9055, 0.9291]",fold,late-r2-protsentv2-150m@3000,2116,2207,56.96,maxsim
0.6371019304952026,0.8382419574082465,0.8812868146805618,0.894426823742637,0.6960811686153031,0.9158415841584159,0.9628712871287128,0.9772277227722772,"[0.6830, 0.7087]","[0.9545, 0.9708]","[0.9035, 0.9272]",superfamily,late-r2-protsentv2-150m@3000,2020,2207,56.96,maxsim
0.5654590149406808,0.5990031717263253,0.7267784322609878,0.7498867240598097,0.737134108667503,0.780862374483166,0.9474305965741288,0.9775546367395157,"[0.7223, 0.7519]","[0.9362, 0.9581]","[0.7625, 0.8004]",family,late-r2-protsentv2-150m@3000,1693,2207,56.96,maxsim
0.6021290897260673,0.8880833710919801,0.9288627095604893,0.9401903035795197,0.6280240553050238,0.9262759924385633,0.9688090737240076,0.9806238185255198,"[0.6159, 0.6400]","[0.9608, 0.9754]","[0.9145, 0.9367]",fold,late-r2-protsentv2-150m@4000,2116,2207,56.74,maxsim
0.6526702886693687,0.8441323062981423,0.8876302673312189,0.8962392387856819,0.7130907559867806,0.9222772277227723,0.9698019801980198,0.9792079207920792,"[0.7003, 0.7247]","[0.9619, 0.9772]","[0.9109, 0.9337]",superfamily,late-r2-protsentv2-150m@4000,2020,2207,56.74,maxsim
0.5788338010626475,0.6094245582238332,0.7331218849116448,0.7521522428636158,0.7545695209363632,0.7944477259303012,0.9556999409332546,0.980507974010632,"[0.7394, 0.7685]","[0.9451, 0.9657]","[0.7738, 0.8140]",family,late-r2-protsentv2-150m@4000,1693,2207,56.74,maxsim
0.5975080916069647,0.8862709560489352,0.9288627095604893,0.9410965111010421,0.6232043280607614,0.9243856332703214,0.9688090737240076,0.9815689981096408,"[0.6100, 0.6353]","[0.9612, 0.9759]","[0.9116, 0.9348]",fold,late-r2-protsentv2-150m@5000,2116,2207,56.83,maxsim
0.6482561393427546,0.8454916175804259,0.8867240598096964,0.8971454463072044,0.7082679700640888,0.9237623762376238,0.9688118811881188,0.9801980198019802,"[0.6953, 0.7206]","[0.9604, 0.9758]","[0.9119, 0.9351]",superfamily,late-r2-protsentv2-150m@5000,2020,2207,56.83,maxsim
