arm,level,max_identity_below,n_eligible_queries,R@1,R@1_ci95,R@10,R@10_ci95,MAP,MAP_ci95
esm2_late@750,family,0.7,479,0.6994,"[0.6576, 0.7390]",0.9248,"[0.8998, 0.9478]",0.6645,"[0.6343, 0.6940]"
esm2_late@750,family,1.01,1693,0.7259,"[0.7041, 0.7466]",0.9285,"[0.9155, 0.9403]",0.6833,"[0.6677, 0.6988]"
esm2_late@final,family,0.4,164,0.7012,"[0.6280, 0.7683]",0.939,"[0.9024, 0.9695]",0.6756,"[0.6259, 0.7241]"
esm2_late@final,family,0.5,287,0.7108,"[0.6585, 0.7631]",0.9373,"[0.9094, 0.9652]",0.686,"[0.6488, 0.7229]"
esm2_late@final,family,0.7,479,0.7244,"[0.6827, 0.7641]",0.9311,"[0.9061, 0.9520]",0.6859,"[0.6567, 0.7148]"
esm2_late@final,family,1.01,1693,0.7419,"[0.7206, 0.7626]",0.9421,"[0.9303, 0.9527]",0.698,"[0.6828, 0.7127]"
esm2_zeroshot,family,0.4,164,0.5488,"[0.4756, 0.6280]",0.8293,"[0.7683, 0.8841]",0.4689,"[0.4145, 0.5230]"
esm2_zeroshot,family,0.5,287,0.5923,"[0.5366, 0.6481]",0.8362,"[0.7909, 0.8780]",0.5192,"[0.4761, 0.5615]"
esm2_zeroshot,family,0.7,479,0.5804,"[0.5344, 0.6242]",0.8267,"[0.7933, 0.8601]",0.528,"[0.4937, 0.5625]"
esm2_zeroshot,family,1.01,1693,0.6013,"[0.5777, 0.6237]",0.8045,"[0.7856, 0.8234]",0.5454,"[0.5269, 0.5638]"
protsent_late,family,0.4,164,0.6646,"[0.5915, 0.7378]",0.9146,"[0.8659, 0.9573]",0.6554,"[0.6036, 0.7054]"
protsent_late,family,0.5,287,0.6655,"[0.6098, 0.7178]",0.9303,"[0.8990, 0.9582]",0.6639,"[0.6261, 0.7012]"
protsent_late,family,0.7,479,0.6889,"[0.6472, 0.7307]",0.9269,"[0.9019, 0.9499]",0.6694,"[0.6402, 0.6988]"
protsent_late,family,1.01,1693,0.7188,"[0.6970, 0.7407]",0.9356,"[0.9238, 0.9468]",0.6805,"[0.6652, 0.6956]"
protsent_late@0,family,0.4,164,0.6463,"[0.5732, 0.7195]",0.8963,"[0.8476, 0.9390]",0.6107,"[0.5581, 0.6627]"
protsent_late@0,family,0.5,287,0.6551,"[0.5993, 0.7073]",0.9094,"[0.8746, 0.9408]",0.6347,"[0.5956, 0.6727]"
protsent_late@0,family,0.7,479,0.6785,"[0.6367, 0.7203]",0.9207,"[0.8956, 0.9436]",0.6508,"[0.6212, 0.6803]"
protsent_late@0,family,1.01,1693,0.6958,"[0.6734, 0.7183]",0.9126,"[0.8984, 0.9256]",0.6436,"[0.6277, 0.6595]"
protsent_late@1000,family,0.4,164,0.6707,"[0.5976, 0.7439]",0.9146,"[0.8720, 0.9573]",0.6528,"[0.6009, 0.7029]"
protsent_late@1000,family,0.5,287,0.6655,"[0.6098, 0.7178]",0.9268,"[0.8955, 0.9547]",0.6611,"[0.6233, 0.6986]"
protsent_late@1000,family,0.7,479,0.6889,"[0.6472, 0.7307]",0.9269,"[0.9019, 0.9499]",0.6678,"[0.6385, 0.6971]"
protsent_late@1000,family,1.01,1693,0.7183,"[0.6964, 0.7395]",0.935,"[0.9226, 0.9462]",0.6773,"[0.6621, 0.6924]"
protsent_late@1250,family,0.4,164,0.6524,"[0.5793, 0.7256]",0.9146,"[0.8720, 0.9573]",0.6513,"[0.5992, 0.7020]"
protsent_late@1250,family,0.5,287,0.6551,"[0.5993, 0.7108]",0.9303,"[0.8990, 0.9582]",0.6612,"[0.6231, 0.6986]"
protsent_late@1250,family,0.7,479,0.6806,"[0.6388, 0.7244]",0.929,"[0.9061, 0.9520]",0.6671,"[0.6377, 0.6964]"
