arm,level,max_identity_below,n_eligible_queries,R@1,R@1_ci95,R@10,R@10_ci95,MAP,MAP_ci95
protsent_late@2000,superfamily,0.5,369,0.878,"[0.8455, 0.9106]",0.9539,"[0.9322, 0.9729]",0.6959,"[0.6654, 0.7255]"
protsent_late@2000,superfamily,0.7,601,0.8819,"[0.8552, 0.9085]",0.9567,"[0.9401, 0.9717]",0.6843,"[0.6602, 0.7081]"
protsent_late@2000,superfamily,1.01,2020,0.8797,"[0.8653, 0.8936]",0.9589,"[0.9500, 0.9673]",0.6721,"[0.6590, 0.6852]"
protsent_late@250,superfamily,0.4,215,0.8465,"[0.7953, 0.8930]",0.9395,"[0.9070, 0.9721]",0.6395,"[0.5982, 0.6812]"
protsent_late@250,superfamily,0.5,369,0.8428,"[0.8049, 0.8781]",0.9295,"[0.9024, 0.9539]",0.6319,"[0.6008, 0.6631]"
protsent_late@250,superfamily,0.7,601,0.8502,"[0.8220, 0.8785]",0.9368,"[0.9168, 0.9551]",0.6236,"[0.5988, 0.6486]"
protsent_late@250,superfamily,1.01,2020,0.8535,"[0.8381, 0.8688]",0.9465,"[0.9366, 0.9559]",0.6127,"[0.5990, 0.6263]"
protsent_late@500,superfamily,0.4,215,0.8512,"[0.8047, 0.8977]",0.9488,"[0.9163, 0.9767]",0.6815,"[0.6404, 0.7218]"
protsent_late@500,superfamily,0.5,369,0.8509,"[0.8130, 0.8862]",0.9485,"[0.9268, 0.9702]",0.6732,"[0.6428, 0.7028]"
protsent_late@500,superfamily,0.7,601,0.8586,"[0.8303, 0.8852]",0.9501,"[0.9318, 0.9667]",0.663,"[0.6390, 0.6874]"
protsent_late@500,superfamily,1.01,2020,0.8649,"[0.8495, 0.8797]",0.951,"[0.9416, 0.9599]",0.6481,"[0.6348, 0.6614]"
protsent_late@750,superfamily,0.4,215,0.8605,"[0.8140, 0.9070]",0.9581,"[0.9302, 0.9814]",0.6909,"[0.6507, 0.7308]"
protsent_late@750,superfamily,0.5,369,0.8618,"[0.8266, 0.8970]",0.9512,"[0.9295, 0.9729]",0.6836,"[0.6536, 0.7132]"
protsent_late@750,superfamily,0.7,601,0.8702,"[0.8419, 0.8968]",0.9567,"[0.9401, 0.9717]",0.6739,"[0.6500, 0.6980]"
protsent_late@750,superfamily,1.01,2020,0.8733,"[0.8589, 0.8876]",0.9545,"[0.9455, 0.9634]",0.6611,"[0.6479, 0.6743]"
protsent_late@final,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9628,"[0.9349, 0.9860]",0.7049,"[0.6646, 0.7444]"
protsent_late@final,superfamily,0.5,369,0.878,"[0.8455, 0.9106]",0.9539,"[0.9322, 0.9729]",0.6959,"[0.6654, 0.7255]"
protsent_late@final,superfamily,0.7,601,0.8819,"[0.8552, 0.9085]",0.9567,"[0.9401, 0.9717]",0.6843,"[0.6602, 0.7081]"
protsent_late@final,superfamily,1.01,2020,0.8797,"[0.8653, 0.8936]",0.9589,"[0.9500, 0.9673]",0.6721,"[0.6590, 0.6852]"
protsent_v2_dense,superfamily,0.4,215,0.8233,"[0.7721, 0.8744]",0.9488,"[0.9163, 0.9767]",0.6859,"[0.6454, 0.7258]"
protsent_v2_dense,superfamily,0.5,369,0.8455,"[0.8076, 0.8808]",0.9485,"[0.9268, 0.9702]",0.6867,"[0.6567, 0.7158]"
protsent_v2_dense,superfamily,0.7,601,0.8519,"[0.8236, 0.8802]",0.9501,"[0.9318, 0.9667]",0.6761,"[0.6523, 0.6997]"
protsent_v2_dense,superfamily,1.01,2020,0.8569,"[0.8416, 0.8723]",0.9559,"[0.9470, 0.9644]",0.654,"[0.6411, 0.6668]"
protsent_v2_zeroshot,superfamily,0.4,215,0.8651,"[0.8186, 0.9116]",0.9628,"[0.9349, 0.9860]",0.7181,"[0.6778, 0.7586]"
protsent_v2_zeroshot,superfamily,0.5,369,0.8726,"[0.8374, 0.9051]",0.9593,"[0.9377, 0.9783]",0.7149,"[0.6847, 0.7446]"
protsent_v2_zeroshot,superfamily,0.7,601,0.8802,"[0.8536, 0.9068]",0.9584,"[0.9418, 0.9734]",0.7037,"[0.6798, 0.7275]"
protsent_v2_zeroshot,superfamily,1.01,2020,0.8782,"[0.8639, 0.8926]",0.9559,"[0.9470, 0.9644]",0.6831,"[0.6699, 0.6961]"
esm2_dense,fold,0.4,223,0.722,"[0.6637, 0.7803]",0.8565,"[0.8072, 0.9013]",0.3157,"[0.2825, 0.3494]"
esm2_dense,fold,0.5,381,0.727,"[0.6824, 0.7717]",0.8556,"[0.8189, 0.8898]",0.3379,"[0.3114, 0.3649]"
esm2_dense,fold,0.7,616,0.7175,"[0.6818, 0.7532]",0.8604,"[0.8328, 0.8880]",0.3381,"[0.3173, 0.3591]"
esm2_dense,fold,1.01,2116,0.725,"[0.7060, 0.7439]",0.8686,"[0.8540, 0.8833]",0.3582,"[0.3460, 0.3704]"
esm2_late,fold,0.4,223,0.8789,"[0.8341, 0.9193]",0.9372,"[0.9013, 0.9686]",0.5921,"[0.5515, 0.6324]"
esm2_late,fold,0.5,381,0.8924,"[0.8609, 0.9213]",0.9501,"[0.9265, 0.9711]",0.6023,"[0.5723, 0.6318]"
esm2_late,fold,0.7,616,0.8945,"[0.8701, 0.9188]",0.9513,"[0.9334, 0.9675]",0.5902,"[0.5665, 0.6137]"
esm2_late,fold,1.01,2116,0.9012,"[0.8880, 0.9140]",0.9608,"[0.9523, 0.9693]",0.6,"[0.5873, 0.6130]"
esm2_late@0,fold,0.4,223,0.6682,"[0.6054, 0.7265]",0.8475,"[0.7982, 0.8924]",0.3409,"[0.3028, 0.3798]"
esm2_late@0,fold,0.5,381,0.7008,"[0.6535, 0.7480]",0.853,"[0.8163, 0.8871]",0.3584,"[0.3293, 0.3879]"
esm2_late@0,fold,0.7,616,0.6981,"[0.6607, 0.7354]",0.8523,"[0.8247, 0.8799]",0.3636,"[0.3405, 0.3872]"
esm2_late@0,fold,1.01,2116,0.6763,"[0.6564, 0.6966]",0.8332,"[0.8171, 0.8492]",0.3717,"[0.3583, 0.3855]"
esm2_late@1000,fold,0.4,223,0.861,"[0.8161, 0.9058]",0.9372,"[0.9058, 0.9686]",0.5853,"[0.5447, 0.6261]"
esm2_late@1000,fold,0.5,381,0.8819,"[0.8478, 0.9134]",0.9528,"[0.9291, 0.9738]",0.5954,"[0.5652, 0.6252]"
esm2_late@1000,fold,0.7,616,0.888,"[0.8636, 0.9123]",0.9513,"[0.9334, 0.9675]",0.5829,"[0.5591, 0.6063]"
esm2_late@1000,fold,1.01,2116,0.8946,"[0.8814, 0.9078]",0.9598,"[0.9509, 0.9683]",0.5954,"[0.5825, 0.6083]"
esm2_late@1250,fold,0.4,223,0.8789,"[0.8341, 0.9193]",0.9372,"[0.9058, 0.9686]",0.5856,"[0.5451, 0.6262]"
esm2_late@1250,fold,0.5,381,0.8924,"[0.8609, 0.9239]",0.9475,"[0.9239, 0.9685]",0.5959,"[0.5658, 0.6254]"
esm2_late@1250,fold,0.7,616,0.8945,"[0.8701, 0.9188]",0.9497,"[0.9318, 0.9659]",0.5838,"[0.5603, 0.6073]"
esm2_late@1250,fold,1.01,2116,0.8993,"[0.8866, 0.9126]",0.9589,"[0.9504, 0.9674]",0.5952,"[0.5825, 0.6082]"
esm2_late@1500,fold,0.4,223,0.8744,"[0.8296, 0.9148]",0.9372,"[0.9013, 0.9686]",0.5919,"[0.5512, 0.6324]"
esm2_late@1500,fold,0.5,381,0.8898,"[0.8582, 0.9186]",0.9501,"[0.9265, 0.9711]",0.6027,"[0.5726, 0.6321]"
esm2_late@1500,fold,0.7,616,0.8945,"[0.8701, 0.9188]",0.9497,"[0.9318, 0.9659]",0.5913,"[0.5677, 0.6148]"
esm2_late@1500,fold,1.01,2116,0.9022,"[0.8894, 0.9149]",0.9594,"[0.9504, 0.9679]",0.6016,"[0.5888, 0.6145]"
esm2_late@1750,fold,0.4,223,0.8789,"[0.8341, 0.9193]",0.9372,"[0.9013, 0.9686]",0.5914,"[0.5508, 0.6318]"
esm2_late@1750,fold,0.5,381,0.8924,"[0.8609, 0.9213]",0.9501,"[0.9265, 0.9711]",0.602,"[0.5719, 0.6315]"
esm2_late@1750,fold,0.7,616,0.8945,"[0.8701, 0.9188]",0.9513,"[0.9334, 0.9675]",0.59,"[0.5666, 0.6136]"
esm2_late@1750,fold,1.01,2116,0.9008,"[0.8875, 0.9135]",0.9608,"[0.9523, 0.9693]",0.5997,"[0.5870, 0.6126]"
esm2_late@2000,fold,0.4,223,0.8789,"[0.8341, 0.9193]",0.9372,"[0.9013, 0.9686]",0.5921,"[0.5515, 0.6324]"
esm2_late@2000,fold,0.5,381,0.8924,"[0.8609, 0.9213]",0.9501,"[0.9265, 0.9711]",0.6023,"[0.5723, 0.6318]"
esm2_late@2000,fold,0.7,616,0.8945,"[0.8701, 0.9188]",0.9513,"[0.9334, 0.9675]",0.5902,"[0.5665, 0.6137]"
esm2_late@2000,fold,1.01,2116,0.9012,"[0.8880, 0.9140]",0.9608,"[0.9523, 0.9693]",0.6,"[0.5873, 0.6130]"
esm2_late@250,fold,0.4,223,0.8161,"[0.7668, 0.8655]",0.9058,"[0.8655, 0.9417]",0.4879,"[0.4490, 0.5274]"
esm2_late@250,fold,0.5,381,0.8451,"[0.8084, 0.8793]",0.9318,"[0.9055, 0.9554]",0.5057,"[0.4768, 0.5345]"
esm2_late@250,fold,0.7,616,0.8442,"[0.8149, 0.8734]",0.9318,"[0.9107, 0.9513]",0.5042,"[0.4812, 0.5268]"
esm2_late@250,fold,1.01,2116,0.8606,"[0.8455, 0.8757]",0.9357,"[0.9249, 0.9461]",0.5264,"[0.5136, 0.5395]"
esm2_late@500,fold,0.4,223,0.843,"[0.7937, 0.8879]",0.9283,"[0.8924, 0.9596]",0.5579,"[0.5170, 0.5999]"
esm2_late@500,fold,0.5,381,0.8688,"[0.8346, 0.9029]",0.9396,"[0.9134, 0.9633]",0.5758,"[0.5450, 0.6062]"
esm2_late@500,fold,0.7,616,0.8782,"[0.8523, 0.9042]",0.9432,"[0.9237, 0.9610]",0.569,"[0.5448, 0.5929]"
esm2_late@500,fold,1.01,2116,0.8847,"[0.8710, 0.8984]",0.9513,"[0.9419, 0.9603]",0.5815,"[0.5685, 0.5947]"
esm2_late@750,fold,0.4,223,0.852,"[0.8027, 0.8969]",0.9372,"[0.9058, 0.9686]",0.5799,"[0.5389, 0.6206]"
esm2_late@750,fold,0.5,381,0.8714,"[0.8373, 0.9029]",0.9501,"[0.9265, 0.9711]",0.5921,"[0.5616, 0.6221]"
esm2_late@750,fold,0.7,616,0.8815,"[0.8555, 0.9058]",0.9562,"[0.9399, 0.9724]",0.5821,"[0.5583, 0.6058]"
esm2_late@750,fold,1.01,2116,0.888,"[0.8743, 0.9012]",0.9575,"[0.9485, 0.9660]",0.5928,"[0.5800, 0.6061]"
esm2_late@final,fold,0.4,223,0.8789,"[0.8341, 0.9193]",0.9372,"[0.9013, 0.9686]",0.5921,"[0.5515, 0.6324]"
esm2_late@final,fold,0.5,381,0.8924,"[0.8609, 0.9213]",0.9501,"[0.9265, 0.9711]",0.6023,"[0.5723, 0.6318]"
esm2_late@final,fold,0.7,616,0.8945,"[0.8701, 0.9188]",0.9513,"[0.9334, 0.9675]",0.5902,"[0.5665, 0.6137]"
esm2_late@final,fold,1.01,2116,0.9012,"[0.8880, 0.9140]",0.9608,"[0.9523, 0.9693]",0.6,"[0.5873, 0.6130]"
esm2_zeroshot,fold,0.4,223,0.7175,"[0.6592, 0.7758]",0.8879,"[0.8430, 0.9283]",0.3727,"[0.3333, 0.4125]"
esm2_zeroshot,fold,0.5,381,0.7402,"[0.6955, 0.7848]",0.8793,"[0.8451, 0.9108]",0.394,"[0.3637, 0.4246]"
esm2_zeroshot,fold,0.7,616,0.7305,"[0.6948, 0.7662]",0.8799,"[0.8539, 0.9058]",0.4001,"[0.3758, 0.4253]"
esm2_zeroshot,fold,1.01,2116,0.7268,"[0.7079, 0.7462]",0.8686,"[0.8540, 0.8833]",0.4043,"[0.3907, 0.4188]"
protsent_late,fold,0.4,223,0.87,"[0.8251, 0.9103]",0.9552,"[0.9283, 0.9821]",0.6185,"[0.5788, 0.6576]"
protsent_late,fold,0.5,381,0.8871,"[0.8530, 0.9186]",0.9606,"[0.9396, 0.9790]",0.6265,"[0.5971, 0.6552]"
protsent_late,fold,0.7,616,0.8961,"[0.8718, 0.9188]",0.9627,"[0.9464, 0.9773]",0.6185,"[0.5955, 0.6415]"
protsent_late,fold,1.01,2116,0.8979,"[0.8847, 0.9107]",0.9612,"[0.9527, 0.9693]",0.6019,"[0.5894, 0.6146]"
protsent_late@0,fold,0.4,223,0.8386,"[0.7892, 0.8834]",0.9462,"[0.9148, 0.9731]",0.5359,"[0.4958, 0.5777]"
protsent_late@0,fold,0.5,381,0.8635,"[0.8294, 0.8976]",0.9501,"[0.9265, 0.9711]",0.5448,"[0.5143, 0.5753]"
protsent_late@0,fold,0.7,616,0.8718,"[0.8458, 0.8977]",0.9562,"[0.9399, 0.9708]",0.5427,"[0.5191, 0.5664]"
protsent_late@0,fold,1.01,2116,0.8743,"[0.8601, 0.8885]",0.9504,"[0.9409, 0.9598]",0.5188,"[0.5060, 0.5317]"
protsent_late@1000,fold,0.4,223,0.8744,"[0.8296, 0.9148]",0.9507,"[0.9193, 0.9776]",0.6107,"[0.5710, 0.6502]"
protsent_late@1000,fold,0.5,381,0.8819,"[0.8478, 0.9134]",0.958,"[0.9370, 0.9764]",0.6198,"[0.5903, 0.6485]"
protsent_late@1000,fold,0.7,616,0.8945,"[0.8701, 0.9172]",0.961,"[0.9448, 0.9756]",0.6126,"[0.5896, 0.6355]"
protsent_late@1000,fold,1.01,2116,0.8974,"[0.8842, 0.9102]",0.9612,"[0.9527, 0.9693]",0.5959,"[0.5832, 0.6085]"
protsent_late@1250,fold,0.4,223,0.8655,"[0.8206, 0.9103]",0.9552,"[0.9283, 0.9821]",0.6142,"[0.5742, 0.6536]"
protsent_late@1250,fold,0.5,381,0.8845,"[0.8504, 0.9160]",0.9606,"[0.9396, 0.9790]",0.6235,"[0.5941, 0.6522]"
protsent_late@1250,fold,0.7,616,0.8912,"[0.8653, 0.9156]",0.9627,"[0.9464, 0.9773]",0.6158,"[0.5928, 0.6387]"
protsent_late@1250,fold,1.01,2116,0.8956,"[0.8823, 0.9083]",0.9622,"[0.9537, 0.9702]",0.5992,"[0.5866, 0.6118]"
protsent_late@1500,fold,0.4,223,0.8655,"[0.8206, 0.9103]",0.9552,"[0.9283, 0.9821]",0.6178,"[0.5779, 0.6572]"
protsent_late@1500,fold,0.5,381,0.8819,"[0.8478, 0.9134]",0.9606,"[0.9396, 0.9790]",0.626,"[0.5965, 0.6546]"
protsent_late@1500,fold,0.7,616,0.8929,"[0.8685, 0.9172]",0.9627,"[0.9464, 0.9773]",0.6184,"[0.5954, 0.6414]"
protsent_late@1500,fold,1.01,2116,0.8979,"[0.8847, 0.9107]",0.9617,"[0.9532, 0.9698]",0.6023,"[0.5897, 0.6150]"
protsent_late@1750,fold,0.4,223,0.8744,"[0.8296, 0.9148]",0.9552,"[0.9283, 0.9821]",0.6193,"[0.5799, 0.6585]"
protsent_late@1750,fold,0.5,381,0.8898,"[0.8583, 0.9213]",0.9606,"[0.9396, 0.9790]",0.627,"[0.5978, 0.6556]"
protsent_late@1750,fold,0.7,616,0.8961,"[0.8718, 0.9188]",0.9627,"[0.9464, 0.9773]",0.6188,"[0.5958, 0.6417]"
protsent_late@1750,fold,1.01,2116,0.8979,"[0.8847, 0.9107]",0.9612,"[0.9527, 0.9693]",0.6019,"[0.5894, 0.6146]"
protsent_late@2000,fold,0.4,223,0.87,"[0.8251, 0.9103]",0.9552,"[0.9283, 0.9821]",0.6185,"[0.5788, 0.6576]"
protsent_late@2000,fold,0.5,381,0.8871,"[0.8530, 0.9186]",0.9606,"[0.9396, 0.9790]",0.6265,"[0.5971, 0.6552]"
protsent_late@2000,fold,0.7,616,0.8961,"[0.8718, 0.9188]",0.9627,"[0.9464, 0.9773]",0.6185,"[0.5955, 0.6415]"
protsent_late@2000,fold,1.01,2116,0.8979,"[0.8847, 0.9107]",0.9612,"[0.9527, 0.9693]",0.6019,"[0.5894, 0.6146]"
protsent_late@250,fold,0.4,223,0.852,"[0.8027, 0.8969]",0.9372,"[0.9013, 0.9686]",0.5519,"[0.5122, 0.5928]"
protsent_late@250,fold,0.5,381,0.8661,"[0.8320, 0.9003]",0.9396,"[0.9134, 0.9633]",0.5537,"[0.5234, 0.5834]"
protsent_late@250,fold,0.7,616,0.875,"[0.8490, 0.9010]",0.9448,"[0.9253, 0.9627]",0.5471,"[0.5237, 0.5712]"
protsent_late@250,fold,1.01,2116,0.8781,"[0.8639, 0.8918]",0.9518,"[0.9423, 0.9608]",0.5334,"[0.5204, 0.5463]"
protsent_late@500,fold,0.4,223,0.852,"[0.8027, 0.8969]",0.9417,"[0.9103, 0.9686]",0.5983,"[0.5582, 0.6381]"
protsent_late@500,fold,0.5,381,0.8661,"[0.8320, 0.9003]",0.9501,"[0.9265, 0.9711]",0.6033,"[0.5730, 0.6324]"
protsent_late@500,fold,0.7,616,0.8782,"[0.8523, 0.9026]",0.9545,"[0.9383, 0.9708]",0.5947,"[0.5717, 0.6181]"
protsent_late@500,fold,1.01,2116,0.8856,"[0.8719, 0.8993]",0.9565,"[0.9475, 0.9650]",0.5785,"[0.5656, 0.5912]"
protsent_late@750,fold,0.4,223,0.861,"[0.8161, 0.9058]",0.9507,"[0.9193, 0.9776]",0.6064,"[0.5668, 0.6456]"
protsent_late@750,fold,0.5,381,0.874,"[0.8399, 0.9055]",0.958,"[0.9370, 0.9764]",0.614,"[0.5842, 0.6427]"
protsent_late@750,fold,0.7,616,0.888,"[0.8620, 0.9123]",0.9627,"[0.9464, 0.9773]",0.6076,"[0.5848, 0.6305]"
protsent_late@750,fold,1.01,2116,0.8922,"[0.8785, 0.9060]",0.9594,"[0.9509, 0.9674]",0.5918,"[0.5791, 0.6044]"
protsent_late@final,fold,0.4,223,0.87,"[0.8251, 0.9103]",0.9552,"[0.9283, 0.9821]",0.6185,"[0.5788, 0.6576]"
protsent_late@final,fold,0.5,381,0.8871,"[0.8530, 0.9186]",0.9606,"[0.9396, 0.9790]",0.6265,"[0.5971, 0.6552]"
protsent_late@final,fold,0.7,616,0.8961,"[0.8718, 0.9188]",0.9627,"[0.9464, 0.9773]",0.6185,"[0.5955, 0.6415]"
protsent_late@final,fold,1.01,2116,0.8979,"[0.8847, 0.9107]",0.9612,"[0.9527, 0.9693]",0.6019,"[0.5894, 0.6146]"
protsent_v2_dense,fold,0.4,223,0.852,"[0.8027, 0.8969]",0.9552,"[0.9283, 0.9821]",0.6088,"[0.5704, 0.6466]"
protsent_v2_dense,fold,0.5,381,0.874,"[0.8399, 0.9055]",0.9659,"[0.9475, 0.9843]",0.6176,"[0.5886, 0.6455]"
protsent_v2_dense,fold,0.7,616,0.875,"[0.8474, 0.9010]",0.9627,"[0.9464, 0.9773]",0.6087,"[0.5863, 0.6312]"
protsent_v2_dense,fold,1.01,2116,0.8866,"[0.8729, 0.9003]",0.9608,"[0.9523, 0.9688]",0.582,"[0.5696, 0.5942]"
protsent_v2_zeroshot,fold,0.4,223,0.87,"[0.8251, 0.9103]",0.9552,"[0.9283, 0.9821]",0.627,"[0.5868, 0.6666]"
protsent_v2_zeroshot,fold,0.5,381,0.8924,"[0.8609, 0.9213]",0.9606,"[0.9396, 0.9790]",0.6362,"[0.6061, 0.6653]"
protsent_v2_zeroshot,fold,0.7,616,0.8994,"[0.8750, 0.9221]",0.961,"[0.9448, 0.9756]",0.6276,"[0.6038, 0.6507]"
protsent_v2_zeroshot,fold,1.01,2116,0.8965,"[0.8837, 0.9093]",0.9579,"[0.9490, 0.9664]",0.6014,"[0.5886, 0.6142]"
