MAP,Recall@1,Recall@10,Recall@30,eligible_MAP,eligible_Recall@1,eligible_Recall@10,eligible_Recall@30,level,model,n_eligible_queries,n_queries,runtime_s,scoring
0.3563296538149993,0.6483914816492977,0.7988219302220209,0.8631626642501132,0.3716538497021283,0.6762759924385633,0.8331758034026465,0.9002835538752363,fold,esm2_late@0,2116,2207,12.59,maxsim
0.4040793992285168,0.6221114635251472,0.7516991391028546,0.8060715903942003,0.44148674955313694,0.6797029702970298,0.8212871287128712,0.8806930693069307,superfamily,esm2_late@0,2020,2207,12.59,maxsim
0.40266343673104327,0.43497961033076576,0.5949252378794744,0.640688717716357,0.5249132928915609,0.5670407560543415,0.7755463673951565,0.835203780271707,family,esm2_late@0,1693,2207,12.59,maxsim
0.504667284695474,0.8251019483461712,0.8971454463072044,0.9229723606705935,0.5263708399446649,0.860586011342155,0.9357277882797732,0.9626654064272212,fold,esm2_late@250,2116,2207,11.07,maxsim
0.5368363922974595,0.7702763932940644,0.8463978251019484,0.8763026733121885,0.5865336226735113,0.8415841584158416,0.9247524752475248,0.9574257425742574,superfamily,esm2_late@250,2020,2207,11.07,maxsim
0.4783780790075656,0.5274127775260534,0.6805618486633439,0.7190756683280471,0.6236151331185454,0.6875369167158889,0.887182516243355,0.9373892498523332,family,esm2_late@250,1693,2207,11.07,maxsim
0.5575367066533159,0.8482102401449932,0.9120978704123244,0.9347530584503851,0.5815139468732836,0.8846880907372401,0.9513232514177694,0.974952741020794,fold,esm2_late@500,2116,2207,11.06,maxsim
0.586297533953496,0.7997281377435432,0.869053013140009,0.8871771635704576,0.640573592789785,0.8737623762376238,0.9495049504950495,0.9693069306930693,superfamily,esm2_late@500,2020,2207,11.06,maxsim
0.5109262096113644,0.5536927956502039,0.7063887630267331,0.7362936112369732,0.6660449761442888,0.7217956290608387,0.9208505611340815,0.9598346131128175,family,esm2_late@500,1693,2207,11.06,maxsim
0.568381935132266,0.8513819664703217,0.9179882193022202,0.9361123697326688,0.5928255816809598,0.8879962192816635,0.9574669187145558,0.9763705103969754,fold,esm2_late@750,2116,2207,11.07,maxsim
0.6016400686352265,0.8069777979157227,0.8726778432260988,0.8917082011780698,0.6573364512267054,0.8816831683168317,0.9534653465346534,0.9742574257425742,superfamily,esm2_late@750,2020,2207,11.07,maxsim
0.5241906025949816,0.5568645219755324,0.712279111916629,0.7408246488445854,0.6833364795789276,0.7259303012404017,0.928529238038984,0.9657412876550502,family,esm2_late@750,1693,2207,11.07,maxsim
0.5708149215385244,0.8577254191209787,0.9202537381060263,0.9374716810149524,0.5953632003003417,0.8946124763705104,0.9598298676748582,0.9777882797731569,fold,esm2_late@1000,2116,2207,11.06,maxsim
0.6059164191652565,0.8133212505663797,0.8763026733121885,0.892161304938831,0.662008681731545,0.8886138613861386,0.9574257425742574,0.9747524752475247,superfamily,esm2_late@1000,2020,2207,11.06,maxsim
0.5295604829094747,0.5641141821477118,0.7213411871318532,0.7417308563661078,0.6903366720503311,0.735380980507974,0.9403425871234495,0.9669226225634967,family,esm2_late@1000,1693,2207,11.06,maxsim
0.5706923586547004,0.8622564567285909,0.9193475305845038,0.9392840960579972,0.5952353665174498,0.8993383742911153,0.9588846880907372,0.9796786389413988,fold,esm2_late@1250,2116,2207,11.07,maxsim
0.608802981357665,0.818305391934753,0.8753964657906661,0.8939737199818758,0.665162465275429,0.8940594059405941,0.9564356435643564,0.9767326732673267,superfamily,esm2_late@1250,2020,2207,11.07,maxsim
0.5316300783047723,0.5677390122338015,0.7199818758495695,0.7426370638876303,0.6930346029643428,0.7401063201417601,0.9385705847607797,0.9681039574719433,family,esm2_late@1250,1693,2207,11.07,maxsim
0.5767587911876414,0.8649750792931581,0.919800634345265,0.9379247847757136,0.6015626900525163,0.9021739130434783,0.9593572778827977,0.9782608695652174,fold,esm2_late@1500,2116,2207,11.08,maxsim
0.614744993741807,0.8219302220208428,0.8763026733121885,0.8939737199818758,0.6716545550436477,0.898019801980198,0.9574257425742574,0.9767326732673267,superfamily,esm2_late@1500,2020,2207,11.08,maxsim
0.53511341662929,0.5704576347983689,0.7199818758495695,0.7439963751699139,0.697575493503156,0.7436503248670998,0.9385705847607797,0.9698759598346132,family,esm2_late@1500,1693,2207,11.08,maxsim
0.5749996232794633,0.8636157680108745,0.9211599456275487,0.9379247847757136,0.599727867947909,0.9007561436672968,0.9607750472589792,0.9782608695652174,fold,esm2_late@1750,2116,2207,11.06,maxsim
0.6132761668996609,0.8196647032170367,0.8781150883552333,0.8939737199818758,0.6700497526473028,0.8955445544554456,0.9594059405940594,0.9767326732673267,superfamily,esm2_late@1750,2020,2207,11.06,maxsim
