MAP,R@1,R@10,arm,n_eligible,shortlist_k
0.461989058545606,0.5664500886001181,0.7601890135853514,esm2_zeroshot,1693,10
0.48958513324763464,0.5823981098641465,0.7749556999409333,esm2_zeroshot,1693,30
0.5137572601519799,0.5918487891317188,0.7891317188422918,esm2_zeroshot,1693,100
0.5453935892541175,0.6012994683992912,0.8044890726520969,esm2_zeroshot,1693,full
0.48351819825915765,0.6296515062020083,0.7601890135853514,esm2_late,1693,10
0.5320133692633947,0.6698168930891908,0.822209096278795,esm2_late,1693,30
0.5931710303060489,0.7052569403425871,0.8694624926166569,esm2_late,1693,100
0.6980253372823185,0.74187832250443,0.9421145894861194,esm2_late,1693,full
0.6745475823268409,0.7265209686946249,0.9238038984051978,protsent_v2_zeroshot,1693,10
0.6809757314143052,0.7259303012404017,0.9314825753101004,protsent_v2_zeroshot,1693,30
0.6836781243294111,0.7259303012404017,0.9320732427643237,protsent_v2_zeroshot,1693,100
0.6840969944467775,0.7259303012404017,0.9320732427643237,protsent_v2_zeroshot,1693,full
